title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
gilead,Unknown,marilynne robinson,fiction,a novel that readers and critics have been eagerly anticipating for over a decade gilead is an astonishingly imagined story of remarkable lives john ames is a preacher the son of a preacher and the grandson both maternal and paternal of preachers its 1956 in gilead iowa towards the end of the reverend amess life and he is absorbed in recording his familys story a legacy for the young son he will never see grow up haunted by his grandfathers presence john tells of the rift between his grandfather and his father the elder an angry visionary who fought for the abolitionist cause and his son an ardent pacifist he is troubled too by his prodigal namesake jack john ames boughton his best friends lost son who returns to gilead searching for forgiveness and redemption told in john amess joyous rambling voice that finds beauty humour and truth in the smallest of lifes details gilead is a song of celebration and acceptance of the best and the worst the world has to offer at its heart is a tale of the sacred bonds between fathers and sons pitchperfect in style and story set to dazzle critics and readers alike,0.5117226702061947,-0.25330457476264623,-0.4185885378951462,-0.15006580881079168
spiders web,A Novel,charles osborneagatha christie,detective and mystery stories,a new christie for christmas a fulllength novel adapted from her acclaimed play by charles osborne following black coffee and the unexpected guest comes the final agatha christie play novelisation bringing her superb storytelling to a new legion of fans clarissa the wife of a foreign office diplomat is given to daydreaming supposing i were to come down one morning and find a dead body in the library what should i do she muses clarissa has her chance to find out when she discovers a body in the drawingroom of her house in kent desperate to dispose of the body before her husband comes home with an important foreign politician clarissa persuades her three house guests to become accessories and accomplices it seems that the murdered man was not unknown to certain members of the house party but which ones and the search begins for the murderer and the motive while at the same time trying to persuade a police inspector that there has been no murder at all spiders web was written in 1954 specifically for margaret lockwood and opened first at the theatre royal nottingham before moving to the savoy theatre in london on 14 december 1954 with the mousetrap and wi,0.13008948004364757,-0.3139167090605254,-0.443428984748269,-0.11506466543211462
the one tree,Unknown,stephen r donaldson,american fiction,volume two of stephen donaldsons acclaimed second trilogy featuing the compelling antihero thomas covenant,-1.5872598756878145,0.11036823102462881,0.5419087404255992,-0.15144311801307567
rage of angels,Unknown,sidney sheldon,fiction,a memorable mesmerizing heroine jennifer brilliant beautiful an attorney on the way up until the mafias schemes win her the hatred of an implacable enemy and a love more destructive than hate a dangerous dramatic world the dark arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power,-0.5377686027408098,-0.010856037571129531,0.6785311981177742,0.06251348610892275
the four loves,Unknown,clive staples lewis,christian life,lewis work on the nature of love divides love into four categories affection friendship eros and charity the first three come naturally to humanity charity however the giftlove of god is divine and without this supernatural love the natural loves become distorted and even dangerous,0.32090607512492114,0.6558774397055414,-0.7373742725102213,0.09277056445751054
the problem of pain,Unknown,clive staples lewis,christian life,in the problem of pain cs lewis one of the most renowned christian authors and thinkers examines a universally applicable question within the human condition if god is good and allpowerful why does he allow his creatures to suffer pain with his signature wealth of compassion and insight cs lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human natureamazon,0.32090607512492114,0.4740410368119025,-0.7125338256570986,0.12108192028223684
an autobiography,Unknown,agatha christie,authors english,donation,-2.064301363390998,1.0195502454928138,0.877254772942756,-0.12372932491103342
empires of the monsoon,A History of the Indian Ocean and Its Invaders,richard hall,africa east,until vasco da gama discovered the searoute to the east in 14979 almost nothing was known in the west of the exotic cultures and wealth of the indian ocean and its peoples it is this civilization and its destruction at the hands of the west that richard hall recreates in this book halls history of the exploration and exploitation by chinese and arab travellers and by the portuguese dutch and british alike is one of brutality betrayal and colonial ambition,-0.06072711503762598,1.4438351855779694,1.0759783477677378,-0.15222286449267558
the gap into madness,Chaos and Order,stephen r donaldson,hyland morn fictitious character,a newcover reissue of the fourth book in the bestselling fivevolume sf series created by the worldfamous author of the thomas covenant chronicles and acclaimed as the best work of his career events were not moving as the amnion had intended once again humans had been false in their dealings with the aliens as the planetoid thanatos minor exploded into atoms the trumpet hurtled into space only one step ahead of hostile pursuers on board were morn hyland and her forcegrown son davies cyborg angus thermopyle and captain nick succorso old enemies thrown together in a desperate bid for survival for both the amnion and the umcp the immediate capture of the fleeing ship and the secrets it contained was imperative but for trumpets exhausted crew the only hope lay in an illegal lab in the distant binary solar system of valdor industrial it would be a journey of unpredictable danger from which not all would return,-0.4423603052001731,0.6558774397055414,1.6348884019629992,-0.15194594518216345
master of the game,Unknown,sidney sheldon,adventure stories,kate blackwell is an enigma and one of the most powerful women in the world but at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies,-1.5872598756878145,0.534653171109783,0.5833094851808037,0.16459468878402336
